Date,Close
7/10/2020,191.87
7/13/2020,185.9
7/14/2020,186.92
7/15/2020,192.86
7/16/2020,188.37
7/17/2020,196.5
7/20/2020,200.53
7/21/2020,200.79
7/22/2020,203.34
7/23/2020,207.19
7/24/2020,209.54
7/27/2020,212.94
7/28/2020,213
7/29/2020,221
7/30/2020,224.53
7/31/2020,221.91
8/3/2020,229.48
8/4/2020,227.47
8/5/2020,236.07
8/6/2020,232.75
8/7/2020,234.2
8/10/2020,232.49
8/11/2020,232.9
8/12/2020,237
8/13/2020,238.73
8/14/2020,233.61
8/17/2020,234.31
8/18/2020,233.62
8/19/2020,232.97
8/20/2020,230.81
8/21/2020,232.67
8/24/2020,230.65
8/25/2020,231.56
8/26/2020,230
8/27/2020,224.65
8/28/2020,220.95
8/31/2020,209.15
9/1/2020,212.99
9/2/2020,214.22
9/3/2020,206.1
9/4/2020,206.4
9/8/2020,198.15
9/9/2020,203.52
9/10/2020,200.83
9/11/2020,199.43
9/14/2020,193.66
9/15/2020,197.88
9/16/2020,196
9/17/2020,199.28
9/18/2020,205.98
9/21/2020,202.45
9/22/2020,204.3
9/23/2020,204.47
9/24/2020,193.39
9/25/2020,194.18
9/28/2020,194.46
9/29/2020,193.45
9/30/2020,194.38
